,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
53,Dartmouth,26,11,15,0.423,-7.56,-5.32,5.0,9.0,5.0,5.0,4.0,10.0,1768.0,1808.0,0.407,0.285,0.539,48.9,58.8,9.1,0.512,21.1,0.263,6.0,Ivy,-1,False,False,False,1993
54,Davidson,28,14,14,0.5,-4.5,-2.78,10.0,8.0,7.0,4.0,3.0,8.0,2078.0,2040.0,0.373,0.24,0.542,53.2,61.7,5.9,0.514,19.5,0.249,5.0,Southern,-1,False,False,False,1993
55,Dayton,30,4,26,0.133,-5.32,5.33,3.0,11.0,3.0,11.0,1.0,11.0,1844.0,2150.0,0.254,0.434,0.494,46.7,57.1,5.0,0.47,18.1,0.168,7.0,MW Coll,-1,False,False,False,1993
56,Delaware,30,22,8,0.733,-0.63,-5.63,10.0,4.0,10.0,1.0,9.0,5.0,2244.0,2070.0,0.474,0.195,0.519,54.1,49.0,9.5,0.471,18.0,0.331,3.0,NAC,13.0,True,False,False,1993
57,Delaware State,29,13,16,0.448,-17.32,-12.03,6.0,10.0,5.0,6.0,4.0,6.0,2138.0,2273.0,0.383,0.275,0.484,50.7,49.0,8.6,0.458,21.9,0.229,7.0,MEAC,-1,False,False,False,1993
58,DePaul,31,16,15,0.516,5.55,6.81,3.0,7.0,10.0,4.0,4.0,7.0,2291.0,2326.0,0.339,0.242,0.539,52.5,56.1,6.0,0.507,19.4,0.236,5.0,GMWC,-1,False,False,False,1993
59,Detroit Mercy,27,15,12,0.556,1.73,0.81,7.0,7.0,8.0,2.0,4.0,9.0,2116.0,2056.0,0.381,0.288,0.529,51.2,54.8,5.1,0.504,15.9,0.24,4.0,MW Coll,-1,False,False,False,1993
60,Drake,28,14,14,0.5,0.89,2.33,9.0,9.0,9.0,4.0,3.0,9.0,2065.0,2086.0,0.351,0.283,0.539,48.5,44.4,5.8,0.501,17.1,0.257,5.0,MVC,-1,False,False,False,1993
61,Drexel,29,22,7,0.759,-2.39,-8.49,12.0,2.0,11.0,3.0,10.0,4.0,2121.0,1944.0,0.478,0.217,0.536,53.1,60.3,5.3,0.497,16.7,0.321,1.0,NAC,-1,False,False,False,1993
62,Duke,32,24,8,0.75,25.98,10.76,10.0,6.0,14.0,2.0,5.0,4.0,2766.0,2279.0,0.43,0.237,0.589,49.9,53.5,9.7,0.554,16.6,0.31,3.0,ACC,3.0,True,False,False,1993
63,Duquesne,28,13,15,0.464,1.54,1.15,5.0,9.0,7.0,4.0,4.0,9.0,2096.0,2085.0,0.448,0.264,0.527,50.7,62.5,11.0,0.502,20.9,0.274,5.0,MW Coll,-1,False,False,False,1993
64,East Carolina,30,13,17,0.433,-2.02,0.94,4.0,10.0,4.0,6.0,3.0,10.0,2037.0,2089.0,0.386,0.274,0.498,50.9,47.7,5.9,0.465,17.3,0.248,7.0,CAA,16.0,True,False,False,1993
65,East Tennessee State,29,19,10,0.655,-0.39,-3.31,12.0,6.0,10.0,1.0,4.0,8.0,2413.0,2254.0,0.332,0.299,0.525,51.9,44.3,7.1,0.499,16.6,0.218,3.0,Southern,-1,False,False,False,1993
66,Eastern Illinois,27,10,17,0.37,-11.12,-3.62,7.0,9.0,8.0,4.0,1.0,11.0,1802.0,1973.0,0.409,0.22,0.541,51.1,56.6,6.4,0.511,23.6,0.27,6.0,Mid-Cont,-1,False,False,False,1993
67,Eastern Kentucky,27,15,12,0.556,-3.57,-5.81,11.0,5.0,8.0,2.0,4.0,9.0,2054.0,1960.0,0.381,0.279,0.557,48.4,53.7,8.0,0.521,16.9,0.274,2.0,OVC,-1,False,False,False,1993
68,Eastern Michigan,30,13,17,0.433,-5.09,-2.99,8.0,10.0,5.0,6.0,4.0,7.0,2074.0,2099.0,0.362,0.265,0.505,50.6,49.5,10.7,0.472,17.6,0.24,6.0,MAC,-1,False,False,False,1993
69,Eastern Washington,26,6,20,0.231,-12.17,-3.17,3.0,11.0,4.0,6.0,0.0,11.0,1695.0,1911.0,0.389,0.268,0.505,47.2,48.9,6.7,0.477,18.7,0.242,8.0,Big Sky,-1,False,False,False,1993
70,Evansville,30,23,7,0.767,8.84,-0.88,12.0,2.0,11.0,2.0,8.0,4.0,2251.0,1960.0,0.465,0.269,0.583,51.2,63.2,7.1,0.539,18.1,0.347,2.0,MW Coll,14.0,True,False,False,1993
71,Fairfield,27,14,13,0.519,-5.21,-3.84,7.0,7.0,7.0,3.0,6.0,9.0,1790.0,1827.0,0.402,0.248,0.503,50.5,45.5,6.7,0.47,19.9,0.258,5.0,MAAC,-1,False,False,False,1993
72,Fairleigh Dickinson,28,11,17,0.393,-12.11,-8.15,8.0,10.0,7.0,5.0,3.0,12.0,1896.0,1963.0,0.434,0.275,0.513,52.1,45.6,5.6,0.481,20.1,0.274,5.0,NEC,-1,False,False,False,1993
73,Florida,28,16,12,0.571,10.73,7.73,9.0,7.0,8.0,3.0,6.0,6.0,2058.0,1975.0,0.31,0.227,0.521,49.4,52.7,9.3,0.499,17.1,0.197,3.0,SEC,-1,False,False,False,1993
74,Florida A&M,28,10,18,0.357,-19.92,-10.63,8.0,8.0,5.0,6.0,3.0,9.0,2098.0,2309.0,0.362,0.178,0.524,50.2,38.9,4.8,0.506,17.8,0.217,5.0,MEAC,-1,False,False,False,1993
75,Florida International,30,20,10,0.667,-5.84,-7.44,9.0,3.0,7.0,3.0,8.0,4.0,2049.0,1959.0,0.454,0.201,0.542,52.5,56.6,8.4,0.519,20.1,0.281,1.0,TAAC,-1,False,False,False,1993
76,Florida State,35,25,10,0.714,18.07,11.44,12.0,4.0,13.0,2.0,7.0,4.0,3020.0,2788.0,0.349,0.244,0.56,50.6,51.0,11.6,0.535,17.0,0.235,2.0,ACC,3.0,True,False,False,1993
77,Fordham,31,15,16,0.484,-7.93,-3.97,9.0,5.0,10.0,4.0,4.0,10.0,2028.0,2131.0,0.499,0.229,0.526,50.2,60.9,9.7,0.487,20.3,0.327,3.0,Patriot,-1,False,False,False,1993
78,Fresno State,28,13,15,0.464,-3.05,2.06,8.0,10.0,10.0,5.0,3.0,9.0,1868.0,2011.0,0.412,0.31,0.535,49.5,67.4,9.6,0.51,19.8,0.26,6.0,WAC,-1,False,False,False,1993
79,Furman,28,11,17,0.393,-6.17,-3.54,8.0,10.0,5.0,6.0,4.0,10.0,2093.0,2142.0,0.381,0.293,0.552,50.6,66.4,4.7,0.511,19.7,0.281,7.0,Southern,-1,False,False,False,1993
80,George Mason,28,7,21,0.25,-10.13,-1.21,2.0,12.0,3.0,9.0,2.0,11.0,1911.0,2102.0,0.345,0.24,0.49,49.2,47.9,6.1,0.456,18.3,0.229,8.0,CAA,-1,False,False,False,1993
82,Georgetown,33,20,13,0.606,13.03,8.63,8.0,10.0,11.0,3.0,4.0,8.0,2285.0,2062.0,0.426,0.208,0.516,54.0,54.4,8.2,0.47,19.2,0.3,8.0,Big East,-1,False,False,False,1993
83,Georgia,29,15,14,0.517,11.52,10.02,8.0,8.0,10.0,3.0,2.0,8.0,2254.0,2174.0,0.416,0.252,0.543,52.3,52.7,9.8,0.523,20.1,0.254,4.0,SEC,-1,False,False,False,1993
