,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
7046,Presbyterian,32,6,26,0.188,-20.71,-7.51,2.0,14.0,5.0,8.0,1.0,15.0,2092.0,2445.0,0.307,0.312,0.53,45.3,48.2,7.7,0.503,16.8,0.208,12.0,Big South,-1,False,False,False,2014
7047,Princeton,30,21,9,0.7,3.01,-2.4,8.0,6.0,11.0,2.0,9.0,6.0,2118.0,1931.0,0.376,0.486,0.564,50.1,61.2,9.7,0.53,15.1,0.271,3.0,Ivy,-1,False,False,False,2014
7048,Providence,35,23,12,0.657,11.37,7.85,10.0,8.0,13.0,3.0,5.0,6.0,2566.0,2443.0,0.419,0.317,0.539,52.4,56.1,12.0,0.483,14.6,0.328,3.0,Big East,11.0,True,False,False,2014
7049,Purdue,32,15,17,0.469,8.21,7.62,5.0,13.0,12.0,5.0,2.0,8.0,2312.0,2293.0,0.381,0.279,0.508,52.4,51.0,13.8,0.472,14.7,0.255,12.0,Big Ten,-1,False,False,False,2014
7050,Purdue-Fort Wayne,36,25,11,0.694,-0.2,-3.87,10.0,4.0,13.0,2.0,8.0,8.0,2774.0,2555.0,0.411,0.367,0.586,52.8,53.7,6.8,0.565,15.7,0.272,2.0,Summit,-1,False,False,False,2014
7051,Quinnipiac,32,20,12,0.625,-0.13,-2.41,14.0,6.0,10.0,3.0,8.0,8.0,2521.0,2448.0,0.481,0.246,0.521,57.4,48.4,10.2,0.468,14.3,0.345,3.0,MAAC,-1,False,False,False,2014
7052,Radford,35,22,13,0.629,-7.9,-8.31,10.0,6.0,10.0,4.0,9.0,8.0,2729.0,2600.0,0.403,0.3,0.563,50.5,47.3,9.0,0.532,13.6,0.277,3.0,Big South,-1,False,False,False,2014
7053,Rhode Island,32,14,18,0.438,2.87,3.26,5.0,12.0,10.0,6.0,3.0,11.0,2169.0,2178.0,0.457,0.278,0.523,51.5,51.1,13.0,0.487,17.9,0.299,11.0,A-10,-1,False,False,False,2014
7054,Rice,30,7,23,0.233,-9.43,-0.43,2.0,14.0,5.0,9.0,1.0,11.0,1853.0,2083.0,0.333,0.463,0.506,46.2,65.0,5.3,0.478,17.7,0.216,16.0,CUSA,-1,False,False,False,2014
7055,Richmond,33,19,14,0.576,5.7,4.3,8.0,8.0,12.0,4.0,5.0,8.0,2196.0,2150.0,0.41,0.365,0.517,45.8,46.5,11.5,0.481,14.2,0.274,7.0,A-10,-1,False,False,False,2014
7056,Rider,31,14,17,0.452,-4.34,-1.69,9.0,11.0,6.0,7.0,6.0,8.0,2292.0,2374.0,0.457,0.35,0.553,49.5,50.7,8.1,0.506,16.5,0.334,6.0,MAAC,-1,False,False,False,2014
7057,Robert Morris,36,22,14,0.611,-3.52,-3.79,14.0,2.0,12.0,3.0,10.0,11.0,2593.0,2583.0,0.366,0.346,0.543,49.3,50.0,5.4,0.504,14.7,0.267,1.0,NEC,-1,False,False,False,2014
7058,Rutgers,33,12,21,0.364,-0.29,5.8,5.0,13.0,10.0,10.0,1.0,10.0,2347.0,2515.0,0.368,0.307,0.517,49.6,50.8,11.4,0.478,15.5,0.26,7.0,AAC,-1,False,False,False,2014
7059,Sacramento State,30,14,16,0.467,-8.04,-5.54,10.0,10.0,11.0,3.0,3.0,12.0,2070.0,2079.0,0.36,0.307,0.553,50.0,54.7,4.1,0.517,15.3,0.261,8.0,Big Sky,-1,False,False,False,2014
7060,Sacred Heart,31,5,26,0.161,-12.93,-5.97,2.0,14.0,1.0,10.0,4.0,13.0,2162.0,2378.0,0.357,0.328,0.503,48.6,51.2,5.9,0.467,15.0,0.245,10.0,NEC,-1,False,False,False,2014
7061,Saint Francis (PA),31,10,21,0.323,-13.2,-5.65,7.0,9.0,5.0,8.0,5.0,13.0,1916.0,2150.0,0.327,0.417,0.503,45.7,53.5,7.2,0.476,14.9,0.21,7.0,NEC,-1,False,False,False,2014
7062,Saint Joseph's,34,24,10,0.706,9.05,5.08,11.0,5.0,11.0,4.0,8.0,4.0,2433.0,2298.0,0.436,0.369,0.563,52.0,56.7,11.9,0.539,15.9,0.281,4.0,A-10,-1,False,False,False,2014
7063,Saint Louis,34,27,7,0.794,11.63,4.24,13.0,3.0,14.0,3.0,11.0,1.0,2374.0,2105.0,0.404,0.322,0.533,51.0,58.1,9.9,0.494,16.2,0.281,1.0,A-10,5.0,True,False,False,2014
7064,Saint Mary's (CA),35,23,12,0.657,9.35,4.29,11.0,7.0,16.0,3.0,6.0,6.0,2502.0,2292.0,0.48,0.352,0.56,53.2,52.5,8.9,0.518,15.5,0.34,4.0,WCC,-1,False,False,False,2014
7065,Saint Peter's,31,14,17,0.452,-5.88,-3.27,9.0,11.0,8.0,5.0,5.0,11.0,1961.0,2042.0,0.422,0.319,0.505,49.6,46.0,12.4,0.458,16.1,0.297,7.0,MAAC,-1,False,False,False,2014
7066,Sam Houston State,35,24,11,0.686,-4.45,-7.6,13.0,5.0,12.0,2.0,7.0,7.0,2647.0,2431.0,0.512,0.337,0.562,51.4,63.0,9.5,0.528,16.0,0.342,3.0,Southland,-1,False,False,False,2014
7067,Samford,33,13,20,0.394,-14.91,-7.41,6.0,10.0,10.0,4.0,2.0,15.0,2327.0,2521.0,0.386,0.272,0.549,47.8,53.0,8.0,0.519,16.6,0.261,8.0,Southern,-1,False,False,False,2014
7068,San Diego,35,18,17,0.514,2.16,1.97,7.0,11.0,10.0,7.0,6.0,8.0,2362.0,2283.0,0.4,0.331,0.547,50.4,50.2,11.0,0.512,16.1,0.278,6.0,WCC,-1,False,False,False,2014
7069,San Diego State,36,31,5,0.861,14.95,4.86,16.0,2.0,15.0,1.0,9.0,2.0,2530.0,2052.0,0.449,0.258,0.519,53.6,40.8,14.1,0.481,12.7,0.298,1.0,MWC,4.0,True,False,False,2014
7070,San Francisco,33,21,12,0.636,5.92,4.28,13.0,5.0,13.0,6.0,7.0,5.0,2469.0,2357.0,0.444,0.34,0.561,52.0,55.6,7.2,0.535,14.7,0.288,3.0,WCC,-1,False,False,False,2014
7071,San Jose State,31,7,24,0.226,-7.96,3.05,1.0,17.0,4.0,9.0,3.0,12.0,1938.0,2222.0,0.337,0.473,0.495,49.3,54.8,7.6,0.453,17.5,0.244,11.0,MWC,-1,False,False,False,2014
7072,Santa Clara,33,14,19,0.424,0.88,3.01,6.0,12.0,7.0,8.0,5.0,8.0,2340.0,2325.0,0.38,0.366,0.535,47.3,51.1,10.4,0.492,13.1,0.278,9.0,WCC,-1,False,False,False,2014
7073,Savannah State,32,13,19,0.406,-9.57,-5.37,10.0,6.0,7.0,5.0,5.0,11.0,1968.0,2057.0,0.394,0.304,0.501,48.7,48.2,13.4,0.467,20.4,0.257,5.0,MEAC,-1,False,False,False,2014
7074,Seattle,30,13,17,0.433,-5.86,-4.11,5.0,11.0,7.0,7.0,5.0,9.0,2139.0,2119.0,0.339,0.365,0.512,53.7,51.8,8.5,0.484,16.7,0.221,7.0,WAC,-1,False,False,False,2014
7075,Seton Hall,34,17,17,0.5,7.53,5.56,6.0,12.0,10.0,8.0,4.0,7.0,2442.0,2375.0,0.431,0.392,0.564,49.6,55.4,7.6,0.524,16.1,0.311,8.0,Big East,-1,False,False,False,2014
7076,Siena,38,20,18,0.526,-0.86,-0.15,11.0,9.0,14.0,5.0,6.0,9.0,2635.0,2662.0,0.417,0.238,0.508,51.9,56.6,12.6,0.458,16.8,0.3,5.0,MAAC,-1,False,False,False,2014
7077,South Alabama,31,11,20,0.355,-5.08,-0.51,5.0,13.0,10.0,6.0,1.0,12.0,2136.0,2182.0,0.382,0.408,0.509,50.7,48.7,10.1,0.471,15.3,0.261,9.0,Sun Belt,-1,False,False,False,2014
7078,South Carolina,34,14,20,0.412,5.41,6.96,5.0,13.0,9.0,7.0,1.0,11.0,2323.0,2376.0,0.457,0.278,0.515,52.3,54.4,11.3,0.465,17.7,0.323,13.0,SEC,-1,False,False,False,2014
7079,South Carolina State,30,9,21,0.3,-17.21,-5.96,5.0,11.0,7.0,6.0,2.0,14.0,1883.0,2180.0,0.343,0.307,0.474,49.7,53.8,9.0,0.439,18.5,0.224,9.0,MEAC,-1,False,False,False,2014
7080,South Carolina Upstate,34,19,15,0.559,-2.02,-4.61,11.0,7.0,12.0,3.0,5.0,12.0,2492.0,2282.0,0.378,0.339,0.537,52.4,59.1,10.6,0.506,15.1,0.255,3.0,A-Sun,-1,False,False,False,2014
7081,South Dakota,30,12,18,0.4,-7.07,-0.81,6.0,8.0,10.0,3.0,2.0,13.0,2084.0,2152.0,0.386,0.334,0.546,49.5,53.4,10.1,0.501,16.3,0.29,5.0,Summit,-1,False,False,False,2014
7082,South Dakota State,32,19,13,0.594,-0.17,-1.93,10.0,4.0,10.0,3.0,7.0,8.0,2315.0,2198.0,0.437,0.352,0.558,54.2,54.7,8.7,0.508,15.5,0.33,3.0,Summit,-1,False,False,False,2014
7083,South Florida,32,12,20,0.375,-0.52,4.6,3.0,15.0,7.0,10.0,5.0,7.0,2100.0,2264.0,0.438,0.217,0.503,50.0,53.5,9.2,0.462,16.4,0.29,10.0,AAC,-1,False,False,False,2014
7084,Southeast Missouri State,32,18,14,0.563,-5.49,-6.59,8.0,8.0,9.0,4.0,5.0,9.0,2654.0,2514.0,0.386,0.315,0.583,52.8,55.5,11.1,0.556,15.5,0.267,8.0,OVC,-1,False,False,False,2014
7085,Southeastern Louisiana,30,12,18,0.4,-13.06,-7.67,7.0,11.0,8.0,5.0,4.0,11.0,2085.0,2172.0,0.403,0.347,0.543,46.8,49.2,10.6,0.506,15.9,0.281,10.0,Southland,-1,False,False,False,2014
7086,Southern,32,19,13,0.594,-4.22,-7.95,15.0,3.0,10.0,4.0,9.0,8.0,2278.0,2006.0,0.394,0.304,0.527,52.6,50.9,13.4,0.503,16.4,0.244,1.0,SWAC,-1,False,False,False,2014
7087,Southern California,32,11,21,0.344,2.6,8.02,2.0,16.0,8.0,8.0,2.0,10.0,2258.0,2410.0,0.417,0.275,0.517,50.1,50.4,10.9,0.479,17.0,0.28,12.0,Pac-12,-1,False,False,False,2014
7088,Southern Illinois,33,14,19,0.424,-0.46,0.23,9.0,9.0,9.0,5.0,3.0,11.0,2208.0,2208.0,0.432,0.262,0.534,51.5,42.3,6.9,0.498,16.3,0.29,6.0,MVC,-1,False,False,False,2014
7090,Southern Methodist,37,27,10,0.73,13.73,4.97,12.0,6.0,18.0,1.0,6.0,6.0,2627.0,2303.0,0.438,0.237,0.561,53.5,59.8,13.7,0.528,17.4,0.299,4.0,AAC,-1,False,False,False,2014
7091,Southern Mississippi,36,29,7,0.806,6.84,-0.08,13.0,3.0,15.0,0.0,10.0,6.0,2596.0,2280.0,0.507,0.306,0.555,55.0,58.1,7.5,0.517,16.6,0.344,1.0,CUSA,-1,False,False,False,2014
7092,Southern Utah,29,2,27,0.069,-19.9,-3.19,1.0,19.0,2.0,11.0,0.0,16.0,1710.0,2171.0,0.394,0.274,0.493,44.3,53.0,8.9,0.449,18.8,0.272,11.0,Big Sky,-1,False,False,False,2014
7093,St. Bonaventure,33,18,15,0.545,5.92,2.64,6.0,10.0,10.0,4.0,4.0,9.0,2421.0,2313.0,0.411,0.253,0.538,52.0,51.8,12.0,0.496,15.8,0.295,9.0,A-10,-1,False,False,False,2014
7094,St. Francis (NY),32,18,14,0.563,-4.64,-5.9,9.0,7.0,10.0,3.0,7.0,11.0,2207.0,2139.0,0.363,0.341,0.519,52.2,51.1,13.2,0.485,16.5,0.248,4.0,NEC,-1,False,False,False,2014
7095,St. John's (NY),33,20,13,0.606,11.68,6.56,10.0,8.0,14.0,5.0,4.0,5.0,2403.0,2234.0,0.371,0.241,0.524,50.3,50.1,19.9,0.487,13.4,0.259,5.0,Big East,-1,False,False,False,2014
7096,Stanford,36,23,13,0.639,13.42,9.0,10.0,8.0,12.0,4.0,6.0,5.0,2616.0,2457.0,0.45,0.293,0.553,51.3,46.3,11.6,0.513,14.7,0.316,5.0,Pac-12,10.0,True,False,False,2014
7097,Stephen F. Austin,35,32,3,0.914,4.82,-6.76,18.0,0.0,15.0,0.0,14.0,2.0,2661.0,2219.0,0.402,0.36,0.561,53.8,62.3,8.6,0.525,14.2,0.286,1.0,Southland,12.0,True,False,False,2014
7098,Stetson,31,7,24,0.226,-15.81,-4.97,5.0,13.0,6.0,6.0,1.0,15.0,1916.0,2252.0,0.362,0.332,0.502,45.1,54.2,10.7,0.468,16.7,0.24,9.0,A-Sun,-1,False,False,False,2014
7099,Stony Brook,34,23,11,0.676,-1.71,-6.47,13.0,3.0,12.0,3.0,8.0,6.0,2426.0,2253.0,0.382,0.273,0.54,54.2,50.5,10.1,0.501,16.0,0.275,2.0,AEC,-1,False,False,False,2014
7100,Syracuse,34,28,6,0.824,16.05,7.25,14.0,4.0,16.0,2.0,8.0,2.0,2311.0,2012.0,0.382,0.27,0.522,52.8,49.1,17.2,0.482,12.1,0.27,2.0,ACC,3.0,True,False,False,2014
7101,TCU,31,9,22,0.29,-1.33,7.9,0.0,18.0,5.0,10.0,3.0,9.0,1973.0,2247.0,0.437,0.28,0.503,43.2,54.1,8.3,0.448,15.6,0.32,10.0,Big 12,-1,False,False,False,2014
7102,Temple,31,9,22,0.29,2.69,6.88,4.0,14.0,4.0,9.0,2.0,9.0,2291.0,2421.0,0.317,0.307,0.515,48.5,50.8,8.3,0.48,12.8,0.224,9.0,AAC,-1,False,False,False,2014
7103,Tennessee,37,24,13,0.649,17.34,7.84,11.0,7.0,14.0,3.0,4.0,7.0,2672.0,2283.0,0.416,0.308,0.545,56.2,50.9,12.0,0.503,13.7,0.299,4.0,SEC,11.0,True,False,False,2014
7104,Tennessee State,30,5,25,0.167,-9.82,-1.99,4.0,12.0,3.0,10.0,2.0,13.0,2061.0,2265.0,0.434,0.305,0.519,49.5,44.4,7.9,0.474,15.7,0.304,6.0,OVC,-1,False,False,False,2014
7105,Tennessee Tech,33,17,16,0.515,-8.09,-4.57,9.0,7.0,10.0,4.0,6.0,9.0,2376.0,2376.0,0.446,0.312,0.542,52.3,49.6,13.0,0.505,18.2,0.302,4.0,OVC,-1,False,False,False,2014
7106,Tennessee-Martin,31,8,23,0.258,-13.45,-4.82,3.0,13.0,5.0,10.0,3.0,13.0,2304.0,2526.0,0.37,0.34,0.524,46.5,53.8,7.1,0.482,14.1,0.268,12.0,OVC,-1,False,False,False,2014
7107,Texas,35,24,11,0.686,12.67,9.15,11.0,7.0,16.0,2.0,4.0,6.0,2598.0,2475.0,0.434,0.26,0.514,54.6,49.9,15.8,0.474,14.4,0.291,4.0,Big 12,7.0,True,False,False,2014
7108,Texas A&M,34,18,16,0.529,5.5,3.62,8.0,10.0,17.0,3.0,1.0,9.0,2199.0,2135.0,0.388,0.341,0.51,48.0,56.7,11.3,0.479,15.2,0.249,9.0,SEC,-1,False,False,False,2014
7109,Texas A&M-Corpus Christi,34,18,16,0.529,-6.41,-6.69,14.0,4.0,10.0,7.0,8.0,8.0,2350.0,2312.0,0.451,0.23,0.549,51.7,50.8,8.5,0.516,15.9,0.299,2.0,Southland,-1,False,False,False,2014
7110,Texas Southern,34,19,15,0.559,-8.41,-10.07,12.0,6.0,9.0,2.0,6.0,11.0,2584.0,2512.0,0.491,0.325,0.565,52.2,55.5,8.5,0.521,16.6,0.352,3.0,SWAC,-1,False,False,False,2014
7111,Texas State,31,8,23,0.258,-7.74,-1.4,4.0,14.0,5.0,9.0,1.0,13.0,1903.0,2047.0,0.342,0.296,0.51,51.2,49.4,8.5,0.48,18.6,0.227,10.0,Sun Belt,-1,False,False,False,2014
7112,Texas Tech,32,14,18,0.438,8.61,8.61,6.0,12.0,11.0,6.0,2.0,10.0,2190.0,2190.0,0.387,0.262,0.538,52.4,46.7,11.1,0.497,15.9,0.282,9.0,Big 12,-1,False,False,False,2014
7113,Texas-Rio Grande Valley,32,9,23,0.281,-10.65,-4.42,5.0,11.0,3.0,10.0,5.0,11.0,2101.0,2262.0,0.361,0.304,0.491,46.7,53.0,7.0,0.455,15.4,0.239,9.0,WAC,-1,False,False,False,2014
7114,The Citadel,33,7,26,0.212,-17.61,-6.75,2.0,14.0,6.0,8.0,0.0,15.0,2211.0,2453.0,0.368,0.327,0.529,47.5,57.9,7.5,0.489,16.5,0.266,11.0,Southern,-1,False,False,False,2014
7115,Toledo,34,27,7,0.794,3.3,-1.46,14.0,4.0,15.0,0.0,9.0,6.0,2694.0,2490.0,0.444,0.281,0.557,51.7,54.7,7.9,0.514,12.5,0.322,7.0,MAC,-1,False,False,False,2014
7116,Towson,36,25,11,0.694,0.55,-3.06,13.0,3.0,15.0,1.0,9.0,8.0,2633.0,2477.0,0.523,0.312,0.552,53.6,40.9,12.3,0.51,14.8,0.359,2.0,CAA,-1,False,False,False,2014
7117,Troy,31,11,20,0.355,-6.17,-2.9,6.0,12.0,8.0,6.0,3.0,11.0,2121.0,2171.0,0.444,0.382,0.519,50.1,48.8,6.5,0.481,15.6,0.294,8.0,Sun Belt,-1,False,False,False,2014
7118,Tulane,34,17,17,0.5,-7.89,-1.73,8.0,8.0,12.0,7.0,4.0,6.0,2164.0,2357.0,0.49,0.347,0.522,49.9,45.2,8.3,0.474,17.4,0.34,7.0,CUSA,-1,False,False,False,2014
7119,Tulsa,34,21,13,0.618,6.23,1.17,13.0,3.0,11.0,3.0,6.0,7.0,2471.0,2299.0,0.471,0.318,0.532,50.3,51.1,10.5,0.492,14.5,0.318,4.0,CUSA,13.0,True,False,False,2014
7120,UAB,31,18,13,0.581,0.78,-0.77,7.0,9.0,12.0,5.0,5.0,5.0,2266.0,2180.0,0.402,0.274,0.496,55.0,49.0,9.9,0.458,15.0,0.265,8.0,CUSA,-1,False,False,False,2014
7121,UC Davis,31,9,22,0.29,-11.55,-1.76,4.0,12.0,6.0,9.0,1.0,13.0,2174.0,2408.0,0.371,0.404,0.543,43.9,49.9,5.9,0.51,15.7,0.258,9.0,Big West,-1,False,False,False,2014
7122,UC Irvine,35,23,12,0.657,4.35,-0.65,13.0,3.0,12.0,4.0,10.0,7.0,2468.0,2231.0,0.366,0.288,0.544,52.8,60.1,16.0,0.521,16.4,0.234,1.0,Big West,-1,False,False,False,2014
7123,UC Riverside,31,10,21,0.323,-7.64,-2.33,5.0,11.0,8.0,7.0,2.0,13.0,2117.0,2214.0,0.416,0.267,0.517,49.2,47.2,11.2,0.473,16.6,0.292,8.0,Big West,-1,False,False,False,2014
7124,UC Santa Barbara,30,21,9,0.7,4.23,-0.13,12.0,4.0,10.0,3.0,9.0,5.0,2137.0,1960.0,0.417,0.347,0.567,51.7,65.4,14.0,0.531,15.1,0.295,2.0,Big West,-1,False,False,False,2014
7125,UCLA,37,28,9,0.757,18.4,7.62,12.0,6.0,16.0,2.0,5.0,5.0,3003.0,2604.0,0.382,0.275,0.579,51.2,59.3,9.0,0.541,12.7,0.286,2.0,Pac-12,4.0,True,False,False,2014
7126,UNC Asheville,32,17,15,0.531,-6.81,-5.5,10.0,6.0,11.0,2.0,5.0,10.0,2486.0,2424.0,0.433,0.328,0.563,52.1,48.1,14.6,0.517,16.5,0.323,10.0,Big South,-1,False,False,False,2014
7127,UNC Greensboro,32,14,18,0.438,-12.33,-6.12,7.0,9.0,9.0,7.0,4.0,8.0,2267.0,2373.0,0.384,0.266,0.522,51.1,47.0,6.2,0.486,17.1,0.264,6.0,Southern,-1,False,False,False,2014
7128,UNC Wilmington,32,9,23,0.281,-8.75,-0.78,3.0,13.0,6.0,8.0,3.0,14.0,2018.0,2221.0,0.329,0.276,0.474,48.8,46.7,11.2,0.44,14.7,0.216,9.0,CAA,-1,False,False,False,2014
7129,UT Arlington,32,15,17,0.469,-4.92,-0.92,9.0,9.0,9.0,5.0,5.0,11.0,2443.0,2488.0,0.421,0.401,0.546,50.3,47.9,10.7,0.506,16.1,0.297,6.0,Sun Belt,-1,False,False,False,2014
7130,Utah,33,21,12,0.636,12.66,6.21,9.0,9.0,18.0,2.0,2.0,9.0,2479.0,2122.0,0.406,0.326,0.583,52.7,58.0,11.8,0.545,15.7,0.302,8.0,Pac-12,-1,False,False,False,2014
7131,Utah State,32,18,14,0.563,4.77,3.09,7.0,11.0,13.0,5.0,4.0,7.0,2215.0,2132.0,0.339,0.313,0.551,54.4,65.2,9.8,0.515,14.9,0.249,8.0,MWC,-1,False,False,False,2014
7132,Utah Valley,32,20,12,0.625,-4.42,-3.65,13.0,3.0,13.0,2.0,6.0,9.0,2161.0,2093.0,0.388,0.358,0.544,50.9,62.0,7.6,0.498,15.2,0.293,1.0,WAC,-1,False,False,False,2014
7133,UTEP,34,23,11,0.676,4.39,0.05,12.0,4.0,14.0,6.0,8.0,2.0,2347.0,2152.0,0.513,0.267,0.55,51.2,57.5,11.0,0.509,17.5,0.351,5.0,CUSA,-1,False,False,False,2014
7134,UTSA,30,8,22,0.267,-11.1,-1.03,4.0,12.0,7.0,9.0,1.0,12.0,2066.0,2304.0,0.541,0.354,0.532,50.9,48.3,5.3,0.482,19.6,0.373,15.0,CUSA,-1,False,False,False,2014
7135,Valparaiso,34,18,16,0.529,0.21,-0.24,9.0,7.0,12.0,6.0,5.0,9.0,2439.0,2283.0,0.455,0.359,0.577,53.1,53.8,13.5,0.535,19.3,0.334,4.0,Horizon,-1,False,False,False,2014
7136,Vanderbilt,31,15,16,0.484,5.52,6.49,7.0,11.0,10.0,6.0,3.0,8.0,2002.0,2032.0,0.412,0.375,0.524,48.9,58.6,11.7,0.491,17.8,0.271,10.0,SEC,-1,False,False,False,2014
7137,Vermont,33,22,11,0.667,4.52,-4.57,15.0,1.0,10.0,2.0,9.0,8.0,2334.0,2000.0,0.469,0.291,0.57,53.6,54.0,12.4,0.527,16.2,0.34,1.0,AEC,-1,False,False,False,2014
7138,Villanova,34,29,5,0.853,18.97,7.5,16.0,2.0,15.0,1.0,10.0,2.0,2651.0,2261.0,0.445,0.448,0.574,52.6,60.1,11.2,0.536,14.9,0.318,1.0,Big East,2.0,True,False,False,2014
7139,Virginia,37,30,7,0.811,18.38,7.86,16.0,2.0,15.0,2.0,7.0,4.0,2449.0,2060.0,0.42,0.297,0.542,54.7,56.6,12.0,0.508,13.8,0.283,1.0,ACC,1.0,True,False,False,2014
7140,Virginia Commonwealth,35,26,9,0.743,14.55,4.78,12.0,4.0,15.0,0.0,6.0,5.0,2624.0,2282.0,0.352,0.339,0.512,50.6,49.8,11.5,0.479,14.2,0.237,2.0,A-10,5.0,True,False,False,2014
7142,Virginia Tech,31,9,22,0.29,1.9,5.99,2.0,16.0,8.0,10.0,1.0,8.0,1950.0,2077.0,0.381,0.364,0.504,51.8,50.8,13.3,0.471,16.8,0.247,15.0,ACC,-1,False,False,False,2014
7143,Wagner,31,19,12,0.613,-3.83,-6.73,12.0,4.0,10.0,3.0,8.0,7.0,2217.0,2122.0,0.367,0.273,0.51,51.6,45.9,16.5,0.465,15.4,0.268,2.0,NEC,-1,False,False,False,2014
7144,Wake Forest,33,17,16,0.515,5.49,6.73,6.0,12.0,14.0,4.0,1.0,9.0,2300.0,2341.0,0.501,0.29,0.534,49.1,56.1,10.0,0.498,16.0,0.325,11.0,ACC,-1,False,False,False,2014
7145,Washington,32,17,15,0.531,6.26,6.45,9.0,9.0,14.0,4.0,3.0,8.0,2384.0,2390.0,0.371,0.295,0.542,51.1,51.1,7.0,0.496,14.2,0.282,9.0,Pac-12,-1,False,False,False,2014
7146,Washington State,31,10,21,0.323,1.34,7.24,3.0,15.0,7.0,8.0,1.0,10.0,1934.0,2081.0,0.365,0.437,0.505,49.4,49.7,8.4,0.472,15.6,0.24,11.0,Pac-12,-1,False,False,False,2014
7147,Weber State,31,19,12,0.613,-0.92,-4.23,14.0,6.0,13.0,2.0,5.0,9.0,2254.0,2061.0,0.498,0.367,0.592,52.5,55.6,9.0,0.547,16.7,0.369,1.0,Big Sky,16.0,True,False,False,2014
7148,West Virginia,33,17,16,0.515,11.78,8.02,9.0,9.0,11.0,5.0,3.0,9.0,2546.0,2422.0,0.391,0.344,0.544,49.6,49.9,8.0,0.504,12.1,0.282,7.0,Big 12,-1,False,False,False,2014
7149,Western Carolina,34,19,15,0.559,-6.75,-6.43,10.0,6.0,11.0,2.0,5.0,11.0,2524.0,2469.0,0.369,0.346,0.526,51.1,47.8,13.6,0.486,14.7,0.265,5.0,Southern,-1,False,False,False,2014
7150,Western Illinois,30,10,20,0.333,-7.55,-2.74,4.0,10.0,7.0,5.0,1.0,13.0,1838.0,1880.0,0.372,0.285,0.532,49.6,55.9,8.8,0.503,18.8,0.247,7.0,Summit,-1,False,False,False,2014
7151,Western Kentucky,32,20,12,0.625,-1.47,-1.34,12.0,6.0,13.0,4.0,7.0,7.0,2196.0,2162.0,0.428,0.395,0.517,52.5,49.3,6.6,0.481,17.0,0.28,2.0,Sun Belt,-1,False,False,False,2014
7152,Western Michigan,33,23,10,0.697,1.73,-1.45,14.0,4.0,13.0,2.0,6.0,7.0,2373.0,2235.0,0.508,0.352,0.568,51.3,48.3,9.6,0.52,18.2,0.368,8.0,MAC,14.0,True,False,False,2014
7153,Wichita State,36,35,1,0.972,16.65,1.74,18.0,0.0,17.0,0.0,12.0,0.0,2706.0,2141.0,0.472,0.367,0.569,55.3,54.8,15.0,0.526,13.6,0.342,1.0,MVC,1.0,True,False,False,2014
7154,William & Mary,32,20,12,0.625,-1.48,-2.29,10.0,6.0,10.0,4.0,8.0,6.0,2340.0,2281.0,0.398,0.421,0.587,47.9,56.0,8.5,0.56,14.2,0.276,3.0,CAA,-1,False,False,False,2014
7155,Winthrop,33,20,13,0.606,-6.43,-6.56,10.0,6.0,12.0,3.0,5.0,10.0,2442.0,2355.0,0.402,0.372,0.556,48.7,46.0,7.5,0.519,15.8,0.286,8.0,Big South,-1,False,False,False,2014
7156,Wisconsin,38,30,8,0.789,19.69,10.19,12.0,6.0,14.0,3.0,8.0,3.0,2793.0,2432.0,0.426,0.391,0.575,51.1,50.5,8.0,0.533,11.2,0.318,2.0,Big Ten,2.0,True,True,False,2014
7157,Wofford,33,20,13,0.606,-4.32,-5.95,11.0,5.0,9.0,4.0,8.0,8.0,2205.0,2054.0,0.328,0.302,0.529,51.0,52.4,4.6,0.502,14.4,0.218,3.0,Southern,15.0,True,False,False,2014
7158,Wright State,36,21,15,0.583,0.21,-2.8,10.0,6.0,13.0,3.0,5.0,12.0,2419.0,2234.0,0.427,0.34,0.561,48.3,60.3,9.4,0.517,18.2,0.315,3.0,Horizon,-1,False,False,False,2014
7159,Wyoming,33,18,15,0.545,4.4,2.34,9.0,9.0,14.0,4.0,3.0,11.0,2130.0,2035.0,0.449,0.351,0.572,46.6,56.9,10.8,0.534,15.7,0.322,6.0,MWC,-1,False,False,False,2014
7160,Xavier,34,21,13,0.618,11.84,8.14,10.0,8.0,15.0,2.0,4.0,6.0,2442.0,2316.0,0.416,0.27,0.551,53.2,57.2,8.2,0.517,16.0,0.286,4.0,Big East,-1,False,False,False,2014
7161,Yale,33,19,14,0.576,-1.66,-1.28,9.0,5.0,9.0,4.0,9.0,10.0,2209.0,2182.0,0.494,0.308,0.519,53.8,52.6,12.5,0.469,16.7,0.343,2.0,Ivy,-1,False,False,False,2014
7162,Youngstown State,32,15,17,0.469,-2.3,-1.26,6.0,10.0,11.0,4.0,2.0,13.0,2461.0,2370.0,0.403,0.391,0.567,49.3,59.7,7.1,0.527,14.1,0.296,7.0,Horizon,-1,False,False,False,2014
